Test ID,Test Title,Test Description,Preconditions,Test Steps,Expected Result,Test Data,Actual Result,Remarks
ADM_01,Secure Entry,Multi-factor login check.,Sys Online,"1. Open login.php. 2. Enter Admin credentials. 3. Enter 6-digit MFA TOTP code. 4. Click [Authorize Session].",Redirection to index.php; Admin badge active.,Admin Creds,,
ADM_02,Analytic Dashboard,Live monitoring audit.,Logged in,"1. Click [Real-time Stats] on dashboard header. 2. Hover over 'Reporter' column. 3. Check for unmasked names.",KPIs update live; PII is fully transparent.,System Stats,,
ADM_03,Hardware Control,Dimming PWM simulation.,SBA Active,"1. Click [Intelligence Map] on sidebar. 2. Open Node 2 panel. 3. Drag Dimming Slider to 25%.",Hardware synchronizes; Status: 25% Duty Cycle.,Node SL-002,,
ADM_04,Master Toggle,Global State Override.,SBA Active,"1. In Node Detail, locate 'Override'. 2. Click [FORCE ON] button.",Node state turns Green; Relay engages instantly.,Relay Cmd,,
ADM_05,Policy Sync,Threshold Broadcast.,Admin Context,"1. Settings -> Thresholds. 2. Set Lux Trigger to 35. 3. Click [Broadcast Policy].",All nodes receive 35lx limit; Handshake ACK shown.,Global Policy,,
ADM_06,Forensic Feed,Secure CCTV capture.,Feeds active,"1. Open CCTV Feed. 2. Click [Take Secure Snapshot].",Image saved to gallery with SHA-256 success toast.,Main Cam,,
ADM_07,Evidentiary Meta,Snapshot verification.,Frame saved,"1. Open Gallery. 2. Toggle 'Forensic Metadata' switch.",Node ID, Timestamp, and Forensic Hash visible.,Meta Overlay,,
ADM_08,Integrity Audit,Cryptographic log check.,Actions done,"1. Navigate to [Security Logs] on sidebar. 2. Click 'Verify Signature' icon.",Entry turns green: 'Signed by Kernel'.,Log Hash,,
ADM_09,Export Report,Forensic PDF Generation.,Data exists,"1. Click [Export Report] on logs page. 2. Click [Generated Signed PDF].",Multi-page PDF downloaded with security watermark.,Last 24 Hours,,
ADM_10,FAR Snapshot,Forensic Backup.,SBA Active,"1. Settings -> Backup. 2. Click [Generate Snapshot].",Progress bar finishes; Snap hash: 0xBE... shown.,DB Registry,,
ADM_11,User Lifecycle,Role & Identity Gov.,Admin Context,"1. Settings -> Users. 2. Update Operator to Admin.",Permission trees rebuild; user has full access.,User: Arvin,,
ADM_12,MFA Override,Emergency Identity Reset.,Admin Context,"1. In User Profile, push [Reset MFA]. 2. Confirm with Admin Password.",User MFA detached; fresh enrollment required.,Stale Token,,
ADM_13,CCTV Immersion,Full-screen live video audit.,Feeds active,"1. Navigate to [CCTV Feeds]. 2. Select 'Node SL-002' stream. 3. Click [Expand Fullscreen] icon. 4. Verify live timestamp movement.",High-def stream fills display; real-time video verified.,SL-002 Stream,,
ADM_14,Alert Lifecycle,Fault resolution and audit trail.,Alerts active,"1. Click [Alerts Center] on sidebar. 2. Push [Acknowledge] on a high-severity fault. 3. Input note 'Repair in progress' and click [Resolve].",Status: Resolved; Action cryptographically logged.,High-Severity,,
ADM_15,Smart Scheduling,View and add operational schedules.,Admin Context,"1. Click [Schedules] on left sidebar. 2. Audit current list and click [Add New Schedule]. 3. Set Start Time '18:00' and Dim Level '50%'. 4. Click [Save Schedule].",Schedule added to registry; automated triggers updated.,18:00 @ 50%,,
ADM_16,Raw Firebase Data,Audit unprocessed IoT telemetry.,Admin Context,"1. Click [Firebase Raw Data] on sidebar. 2. Monitor incomimg JSON stream from SG-NODE2. 3. Verify raw attributes (ldrData, temperature, voltage) update.",Raw Firebase stream updates live; values match hardware sensors.,Firebase JSON,,
ADM_17,Global Governance,Manage core settings & system identity.,Admin Context,"1. Click [Global Settings]. 2. Audit tabs: [Prefs], [Thresholds], [Backup], [Security], [Users]. 3. Change 'System Name' to 'ShineGuard City Hub'. 4. Click [Save Changes].",Global preferences synchronized; branding updates site-wide.,ShineGuard City Hub,,
MNT_01,Ops Entry,Operational Entry check.,Mnt Account,1. Login with Operator credentials.,Restricted Dashboard loads; Admin menus hidden.,Mnt Account,,
MNT_02,Privacy Mask,Kernel-level masking.,Mnt Context,1. View User List or Logs.,Names: A***n R***s (Data Privacy Active).,Resident PII,,
MNT_03,Health Sweep,Real-time diagnostics.,Logged in,"1. Detail -> [Run Smart Test]. 2. Wait 3s for Cloud response.",Analysis complete; Health pips show GREEN/OK.,Loopback Test,,
MNT_04,Map Isolation,Geo-Filter Tasking.,Map active,1. Filter Dropdown -> [Faulty Only].,Map pins isolate specific nodes needing repair.,Filter: Faults,,
MNT_05,Cloud Bridge,Manual DB Sync.,Dashboard,1. Click [Sync MySQL] on hero bar.,"Sync Success" toast; local tables match Cloud.,RTDB Bridge,,
MNT_06,Incident Fix,Alert Lifecycle Mgmt.,Alert Open,1. Alerts Pane -> Click [Resolve].,Status: Resolved; Incident archived in history.,SL-Fault-001,,
OBS_01,Monitor Entry,Visual audit entry.,Obs Account,1. Enter Observer Credentials.,Only Monitoring cards render; Controls hidden.,Obs Account,,
OBS_02,Telemetry Trend,Live Analytics audit.,Obs Account,1. Monitor Lux Trend charts.,Real-time graph updates via Firebase stream.,Live Feed,,
OBS_03,Control Shield,Interaction block check.,Dashboard,1. Attempt to toggle Node 2 relay.,Buttons are non-rendered; Action is forbidden.,Forbidden CMD,,
OBS_04,Config Shield,Security Shield check.,Dashboard,1. Attempt manual URL entry to settings.,System redirect to Dash via Role Guard.,URL Injection,,
