Test ID,Test Title,Test Description,Preconditions,Test Steps,Expected Result,Test Data,Actual Result,Remarks
ADM_01,Admin Authentication,Multi-factor login check.,System Online,"1. Enter Admin Creds. 2. Submit MFA Code.",Access to Root Dashboard,Admin Account,,
ADM_02,User Creation,Create New Account.,Admin Context,"1. Settings -> Users. 2. Fill details. 3. Submit.",User added to DB,New User Details,,
ADM_03,Role Transition,Update user permissions.,Admin Context,"1. Edit User. 2. Change Role. 3. Save.",Permissions updated,Role Mapper,,
ADM_04,MFA Forced Reset,Administrative Override.,Admin Context,"1. Edit User. 2. Push 'Force Disable MFA'.",MFA detached from user,Stale Token,,
ADM_05,User Purge,Destructive user deletion.,SBA Active,"1. Delete User. 2. Verify Admin Password.",Account wiped correctly,User ID,,
ADM_06,FAR Snapshot,Generate Forensic SQL.,SBA Active,"1. Settings -> Data. 2. Click Snapshot.",SHA-256 Hash Generated,DB Snap,,
ADM_07,FAR Restoration,System State Rollback.,SBA Active,"1. Select Snapshot. 2. Click Restore.",System rolls back state,Registry ID,,
ADM_08,Log Integrity,Verify Audit Signatures.,Admin Context,"1. Open Activity Logs. 2. Check integrity icons.",Logs show Verified Checkmark,Audit Table,,
ADM_09,Forensic Export,Generate Monthly Audit.,Admin Context,"1. Select Date Range. 2. Export PDF.",Log report generated,Last 30 Days,,
ADM_10,CCTV IP Init,Initialize Camera Stream.,Admin Context,"1. Streetlight Details. 2. Config CCTV IP.",Video stream active,IP: 192.168.1.50,,
ADM_11,CCTV Snapshot,Physical Frame Capture.,Admin Context,"1. View Stream. 2. Click 'Snapshot'.",Image saved to gallery,Storage Path,,
ADM_12,Threshold Bench,Set Alert Trigger Points.,Admin Context,"1. Settings -> Thresholds. 2. Adjust Lux/Temp.",Alerts trigger at new vals,35 lux trigger,,
ADM_13,Branding Policy,Update Org Metadata.,Admin Context,"1. Settings -> Prefs. 2. Update Org Name.",Site title updates,Org Name,,
ADM_14,Power Override,Force Master Toggle.,SBA Active,"1. Map View. 2. Force ON/OFF.",Hardware obeys cmd,Relay Toggle,,
ADM_15,Bulk Command,Multi-Node Propagation.,SBA Active,"1. Bulk Actions. 2. Select All. 3. Toggle.",All nodes sync state,All Nodes,,
ADM_16,Work Order Creation,Initialize Maintenance.,Admin Context,"1. Create Work Order. 2. Auto-fill from Alert.",Work order registered,Alert 1042,,
ADM_17,PII Raw Access,Unmasked Data Privacy.,Admin Context,1. View Resident Data,Data is fully readable,Resident Table,,
MNT_01,Maintainer Auth,Operational Login.,Role: Maintainer,1. Enter Credentials,Operational UI loads,Mnt Acc,,
MNT_02,Node Toggle,Physical Power Control.,SBA Active,"1. Select Streetlight. 2. Toggle Relay.",Firebase receives CMD,Node SL-002,,
MNT_03,Dimming Logic,Responsive Adjustment.,SBA Active,"1. Adjust Slider. 2. Wait 2s.",PWM duty cycle updates,25% Dimming,,
MNT_04,SMART Diagnostic,Run Health Sweep.,SBA Active,"1. Detail -> Run Test. 2. Verify Auth.",Node status updated,Healthy Sweep,,
MNT_05,Site Safety Feed,CCTV Live View.,Role: Maintainer,"1. View Node Detail. 2. Expand CCTV.",Live stream visible,Maint Feed,,
MNT_06,Alert Resolution,Close Open Issues.,Role: Maintainer,"1. Open Alerts. 2. Click Resolve.",Status: Closed,Alert 884,,
MNT_07,PII Masking,Privacy Compliance.,Role: Maintainer,1. View Resident Logs,Names: A***n R***s,Resident Data,,
MNT_08,Access Block A,Identity Shield.,Role: Maintainer,1. Attempt /settings.php,Redirect to Dashboard,URL Injection,,
MNT_09,Access Block B,Forensic Audit Shield.,Role: Maintainer,1. Attempt Export Action,Action Blocked,Export Cmd,,
MNT_10,Access Block C,Data Recovery Shield.,Role: Maintainer,1. Attempt FAR actions,Buttons Not Rendered,FAR Cmd,,
MNT_11,View Settings,Config Audit.,Role: Maintainer,1. View Thresholds,View-Only Access,Config Key,,
OBS_01,Observer Auth,Monitoring Entry.,Role: Observer,1. Login,Dashboard (View Only),Obs Acc,,
OBS_02,Live Telemetry,RTDB Observations.,Role: Observer,1. Watch Lux/Temp,Val updates every 5s,Telemetry Feed,,
OBS_03,Map Navigation,Geo-Spatial Monitoring.,Role: Observer,1. Browse Map Icons,Status pips are live,Map View,,
OBS_04,Report Audit,Analytics Review.,Role: Observer,1. Open Analytics,Charts render correctly,Perf Summary,,
OBS_05,History Review,Alert Log Observation.,Role: Observer,1. View History,Logs visible (No action),Alert Logs,,
OBS_06,Hardware Lock,Power Interaction Block.,Role: Observer,1. Attempt Node Toggle,Button: Greyed Out,Lockout Mode,,
OBS_07,CCTV View Only,Observation Buffer.,Role: Observer,1. View Camera,Thumbnail/Stream Visible,Live Cam,,
OBS_08,Setting Lockout,Configuration Shield.,Role: Observer,1. Attempt View Settings,Redirected/Hidden,Access Denied,,
OBS_09,Identity Lockout,Admin Governance Shield.,Role: Observer,1. Attempt User List,Access Denied,User Table,,
UI_01,Mobile Adaptation,System Responsiveness.,UI Render,1. Resize browser window.,UI stacks correctly,Flex Layout,,
UI_02,Dark/Light Mode,Theme Transition.,UI Render,1. Toggle Theme Switch.,CSS variables swap smoothly,Theme CSS,,
UI_03,Pulse Heartbeat,Real-time Feedback.,UI Render,1. Watch monitor dots.,Pips pulse correctly,Anim CSS,,
