Test ID,Test Title,Test Description,Preconditions,Test Steps,Expected Result,Test Data,Actual Result,Remarks
ADM_01,Secure Entry,Multi-factor login check.,Sys Online,"1. Open login.php. 2. Enter Admin credentials. 3. Enter 6-digit MFA TOTP code. 4. Click [Authorize Session].",Redirection to index.php; Admin badge active.,Admin Creds,,
ADM_02,Analytic Dashboard,Live monitoring audit.,Logged in,"1. Click [Real-time Stats]. 2. Hover over 'Reporter' column. 3. Check for unmasked names.",KPIs update live; PII is fully transparent.,System Stats,,
ADM_03,Hardware Control,Dimming PWM simulation.,SBA Active,"1. Click [Intelligence Map] on sidebar. 2. Open Node 2 panel. 3. Drag Dimming Slider to 25%.",Hardware synchronizes; Status: 25% Duty Cycle.,Node SL-002,,
ADM_04,Master Toggle,Global State Override.,SBA Active,"1. In Node Detail, locate 'Override'. 2. Click [FORCE ON] button.",Node state turns Green; Relay engages instantly.,Relay Cmd,,
ADM_05,Policy Sync,Threshold Broadcast.,Admin Context,"1. Settings -> Thresholds. 2. Set Lux Trigger to 35. 3. Click [Broadcast Policy].",All nodes receive 35lx limit; Handshake ACK shown.,Global Policy,,
ADM_06,Forensic Feed,Secure CCTV capture.,Feeds active,"1. Open CCTV Feed. 2. Click [Take Secure Snapshot].",Image saved to gallery with SHA-256 success toast.,Main Cam,,
ADM_07,Evidentiary Meta,Snapshot verification.,Frame saved,"1. Open Gallery. 2. Toggle 'Forensic Metadata' switch.",Node ID, Timestamp, and Forensic Hash visible.,Meta Overlay,,
ADM_08,Integrity Audit,Cryptographic log check.,Actions done,"1. Navigate to [Security Logs]. 2. Click 'Verify Signature' icon.",Entry turns green: 'Signed by Kernel'.,Log Hash,,
ADM_10,FAR Snapshot,Forensic Backup.,SBA Active,"1. Settings -> Backup. 2. Click [Generate Snapshot].",Progress bar finishes; Snap hash: 0xBE... shown.,DB Registry,,
ADM_11,User Lifecycle,Role & Identity Gov.,Admin Context,"1. Settings -> Users. 2. Update Operator to Admin.",Permission trees rebuild; user has full access.,User: Arvin,,
MNT_01,Ops Entry,Operational Entry check.,Mnt Account,1. Login with Operator credentials.,Restricted Dashboard loads; Admin menus hidden.,Mnt Account,,
MNT_02,Privacy Mask,Kernel-level masking.,Mnt Context,1. View User List or Logs.,Names: A***n R***s (Data Privacy Active).,Resident PII,,
MNT_03,Health Sweep,Real-time diagnostics.,Logged in,"1. Detail -> [Run Smart Test]. 2. Wait 3s for Cloud response.",Analysis complete; Health pips show GREEN/OK.,Loopback Test,,
MNT_04,Map Isolation,Geo-Filter Tasking.,Map active,1. Filter Dropdown -> [Faulty Only].,Map pins isolate specific nodes needing repair.,Filter: Faults,,
MNT_05,Cloud Bridge,Manual DB Sync.,Dashboard,1. Click [Sync MySQL] on hero bar.,"Sync Success" toast; local tables match Cloud.,RTDB Bridge,,
OBS_01,Monitor Entry,Visual audit entry.,Obs Account,1. Enter Observer Credentials.,Only Monitoring cards render; Controls hidden.,Obs Account,,
OBS_02,Telemetry Trend,Live Analytics audit.,Obs Account,1. Monitor Lux Trend charts.,Real-time graph updates via Firebase stream.,Live Feed,,
OBS_03,Control Shield,Interaction block check.,Dashboard,1. Attempt to toggle Node 2 relay.,Buttons are non-rendered; Action is forbidden.,Forbidden CMD,,
