Test ID,Test Title,Test Description,Preconditions,Test Steps,Expected Result,Test Data,Actual Result,Remarks
ADM_01,Secure Entry,Multi-factor login.,Sys Online,"1. Open login.php. 2. Enter Admin credentials. 3. Enter MFA code.",Redirected to Dash; Admin badge active.,Admin Creds,,
ADM_02,Analytic Audit,Dashboard monitoring.,Logged in,1. Audit KPIs on dash. 2. Verify unmasked PII data.,Full transparency; PII is readable.,System Stats,,
ADM_03,Hardware Control,Manual Relay Toggle.,SBA Active,1. Open Node 2 panel. 2. Click "FORCE ON".,Node state: Green; Relay engages.,Relay Cmd,,
ADM_04,Dimming PWM,PWM Simulation.,SBA Active,1. Drag Intensity Slider to 25%.,Hardware syncs; 25% Duty cycle active.,Node SL-002,,
ADM_05,Self-Run Test,Cloud Diagnostics.,Logged in,"1. Node Detail -> [Run Smart Test]. 2. Wait 3s.",Telemetry sweep returns OK/Healthy.,Loopback Test,,
ADM_06,CCTV Video,High-Def Immersion.,Feeds active,1. Open CCTV. 2. Click [Expand Fullscreen].,Stream fills display; Real-time verified.,Cam-02 Stream,,
ADM_07,Snapshot Gallery,Forensic Capture.,Feeds active,"1. CCTV Feed -> [Take Secure Snapshot].",Frame saved with SHA-256 integrity.,Main Cam,,
ADM_08,Forensic Meta,Evidentiary Audit.,Frame saved,1. Gallery -> Toggle [Forensic Metadata].,"Node ID, Hash, and Timestamp visible.",Meta Overlay,,
ADM_09,Alert Lifecycle,Fault Resolution.,Alert Open,"1. Alerts -> Acknowledge -> Resolve.",Status: Resolved; Action logged in audit.,High Severity,,
ADM_10,Work Order Init,Repair Management.,Alert Resolved,1. Create WO from Alert. 2. Assign staff.,Work Order registered in registry.,Alert 1042,,
ADM_11,Smart Schedule,Automated Orchestr.,Admin logged,"1. Schedules -> [Add New]. 2. Set Time/Dim.",Auto-trigger added to system policy.,18:00 @ 50%,,
ADM_12,Export Report,Forensic PDF.,Data exists,"1. Logs -> [Export Report] -> [Generate PDF].",Signed forensic PDF downloaded.,Last 24 Hours,,
ADM_13,Firebase Raw,Cloud Stream Audit.,Data exists,1. [Firebase Raw Data] -> Monitor stream.,Raw JSON updates live in real-time.,Firebase Data,,
ADM_14,Global Settings,Global Governance.,Admin Context,1. Settings -> Edit 'System Name' -> Save.,Branding updates site-wide instantly.,Shineguard Hub,,
ADM_15,Integrity Audit,Cryptographic check.,Actions done,1. [Security Logs] -> Verify Signature.,"Entry turns Green: 'Signed by Kernel'.",Log Hash,,
ADM_16,MFA Override,Emergency Identity.,Admin Context,1. User Profile -> [Reset MFA].,User MFA detached; fresh enrollment req.,Stale Token,,
ADM_17,Seed Init,Forensic Seed.,Admin logged,"1. Data & Backup -> [Initiate Seed]. 2. Enter Admin Password.",SQL Archive generated with SHA-256 seal.,System Image,,
ADM_18,System Seed,Forensic Re-Seed.,Seed exists,"1. [Verify & Restore] -> Enter Admin Pass.",Database state restored; Page reloads.,Forensic Log,,

MNT_01,Ops Entry,Operational Entry.,Mnt Account,1. Login with Maintainer credentials.,Restricted Dashboard loads; Admin menus hidden.,Mnt Account,,
MNT_02,Ops Dashboard,Field Monitoring.,Logged in,1. Audit telemetry. 2. Verify PII masking.,"Data: A***n R***s (Data Privacy active).",Resident PII,,
MNT_03,Relay Toggle,Authorized Override.,SBA Active,1. Open Node 2 Detail. 2. Click "Toggle ON".,State updates to active in real-time.,Relay Toggle,,
MNT_04,PWM Dimming,Lighting Optimization.,SBA Active,1. Move slider to 40% intensity.,Dashboard syncs with hardware PWM state.,40% Dimming,,
MNT_05,Self-Run Test,Integrity Check.,Logged in,1. Node Detail -> [Run Health Sweep].,Hardware check complete; status: OK.,Sweep Test,,
MNT_06,CCTV Video Feed,Safety Observation.,Feeds active,1. Open CCTV Feed. 2. Monitor site status.,Live video stream active for field safety.,Maint Feed,,
MNT_07,Alert Handling,Fault Response.,Alert Open,1. Alerts Center -> Click [Acknowledge].,Status: In-Progress; Staff action logged.,Alert ACK,,
MNT_08,Work Order Sync,Task Updates.,WO Assigned,"1. Open [Maintenance Registry]. 2. Edit WO #102. 3. Change Status to 'In-Progress'. 4. Save.",Work order updated; changes synced to database.,WO #102,,
MNT_09,Raw Diagnostics,Cloud Transparency.,Dashboard,1. [Firebase Raw Data] -> View Stream.,Verified unprocessed sensor data sync.,RTDB Feed,,
MNT_10,Identity Shield,Access Block A.,Logged in,1. Attempt access to [User Management],System redirect: "Access Denied" active.,URL Inject,,
MNT_11,Backup Shield,Access Block B.,Logged in,1. Attempt access to [Data & Backup].,Menu not rendered; Action is forbidden.,Backup URL,,

OBS_01,Obs Entry,Auditing Login.,Obs Account,1. Enter Observer credentials.,Redirected to View-Only Dashboard.,Obs Account,,
OBS_02,Trend Monitoring,Analytical Insight.,Logged in,1. Observe real-time Lux/Temp charts.,Visualization rendering; All controls hidden.,Telemetry Feed,,
OBS_03,Map Status,Pip observation.,Map active,1. Monitor node pips for real-time status.,Icons show Green/Red state via Cloud.,Map Pins,,
OBS_04,CCTV View,Site Awareness.,Feeds active,1. Open CCTV Stream.,Live view active; Take Snapshot is hidden.,CCTV Feed,,
